DateTime	RespValue
2022-10-12 10:35:28.315	-798.4
2022-10-12 10:35:28.327	-797.1
2022-10-12 10:35:28.340	-793
2022-10-12 10:35:28.348	-790.8
2022-10-12 10:35:28.360	-787.7
2022-10-12 10:35:28.372	-788.3
2022-10-12 10:35:28.380	-783.6
2022-10-12 10:35:28.393	-778.4
2022-10-12 10:35:28.406	-776.6
2022-10-12 10:35:28.418	-769.7
2022-10-12 10:35:28.426	-771.7
2022-10-12 10:35:28.438	-766.9
2022-10-12 10:35:28.451	-765.7
2022-10-12 10:35:28.459	-759.7
2022-10-12 10:35:28.471	-753.9
2022-10-12 10:35:28.483	-745.2
2022-10-12 10:35:28.492	-737.1
2022-10-12 10:35:28.504	-728.7
2022-10-12 10:35:28.516	-719.3
2022-10-12 10:35:28.528	-712.9
2022-10-12 10:35:28.537	-701.6
2022-10-12 10:35:28.549	-692
2022-10-12 10:35:28.561	-681.6
2022-10-12 10:35:28.569	-671.1
2022-10-12 10:35:28.582	-661.8
2022-10-12 10:35:28.590	-653
2022-10-12 10:35:28.602	-646
2022-10-12 10:35:28.614	-639.6
2022-10-12 10:35:28.627	-628.9
2022-10-12 10:35:28.635	-615.2
2022-10-12 10:35:28.647	-602.6
2022-10-12 10:35:28.659	-592.2
2022-10-12 10:35:28.668	-579.5
2022-10-12 10:35:28.680	-568.1
2022-10-12 10:35:28.692	-555.1
2022-10-12 10:35:28.700	-542.7
2022-10-12 10:35:28.713	-531.7
2022-10-12 10:35:28.725	-519.9
2022-10-12 10:35:28.733	-511.3
2022-10-12 10:35:28.745	-505.1
2022-10-12 10:35:28.758	-495.4
2022-10-12 10:35:28.766	-486
2022-10-12 10:35:28.778	-476.5
2022-10-12 10:35:28.790	-467
2022-10-12 10:35:28.803	-457.9
2022-10-12 10:35:28.811	-447.4
2022-10-12 10:35:28.823	-437
2022-10-12 10:35:28.835	-427.7
2022-10-12 10:35:28.844	-418.1
2022-10-12 10:35:28.856	-405.5
2022-10-12 10:35:28.868	-397.4
2022-10-12 10:35:28.880	-388.3
2022-10-12 10:35:28.889	-381.4
2022-10-12 10:35:28.901	-374.5
2022-10-12 10:35:28.913	-365.5
2022-10-12 10:35:28.921	-355.1
2022-10-12 10:35:28.934	-343
2022-10-12 10:35:28.946	-330.9
2022-10-12 10:35:28.954	-315
2022-10-12 10:35:28.966	-305.3
2022-10-12 10:35:28.979	-296.1
2022-10-12 10:35:28.987	-287
2022-10-12 10:35:28.999	-275.7
2022-10-12 10:35:29.011	-264.6
2022-10-12 10:35:29.020	-257.8
2022-10-12 10:35:29.032	-252
2022-10-12 10:35:29.044	-249.3
2022-10-12 10:35:29.056	-243.5
2022-10-12 10:35:29.065	-240.6
2022-10-12 10:35:29.077	-238
2022-10-12 10:35:29.089	-232.8
2022-10-12 10:35:29.098	-225.7
2022-10-12 10:35:29.110	-219.6
2022-10-12 10:35:29.122	-212.5
2022-10-12 10:35:29.130	-202.5
2022-10-12 10:35:29.142	-191
2022-10-12 10:35:29.155	-178.9
