DateTime	RespValue
15:34:49.325	73.7
15:34:49.337	79.0
15:34:49.349	82.1
15:34:49.362	86.8
15:34:49.370	86.0
15:34:49.382	88.3
15:34:49.394	88.5
15:34:49.403	88.0
15:34:49.415	85.6
15:34:49.427	85.3
15:34:49.435	85.6
15:34:49.448	85.4
15:34:49.456	82.9
15:34:49.468	80.0
15:34:49.480	81.7
15:34:49.493	81.2
15:34:49.501	82.8
15:34:49.513	85.3
15:34:49.525	88.0
15:34:49.534	86.9
15:34:49.546	86.5
15:34:49.558	89.6
15:34:49.571	95.5
15:34:49.579	101.1
15:34:49.591	102.7
15:34:49.603	106.6
15:34:49.611	105.2
15:34:49.624	103.7
15:34:49.636	103.4
15:34:49.644	109.3
15:34:49.657	114.9
15:34:49.669	116.7
15:34:49.677	116.5
15:34:49.689	119.5
15:34:49.702	128.2
15:34:49.710	132.7
15:34:49.722	142.1
15:34:49.734	152.1
15:34:49.747	167.3
15:34:49.755	174.4
15:34:49.767	184.7
15:34:49.779	193.2
15:34:49.788	199.2
15:34:49.800	203.6
15:34:49.812	205.0
15:34:49.820	207.1
15:34:49.832	208.6
15:34:49.845	209.4
15:34:49.857	205.8
15:34:49.865	206.6
15:34:49.877	200.2
15:34:49.890	198.2
15:34:49.898	199.4
15:34:49.910	195.8
15:34:49.922	192.3
15:34:49.931	193.4
15:34:49.943	192.4
15:34:49.955	190.8
15:34:49.963	189.4
15:34:49.976	184.8
15:34:49.988	184.0
15:34:50.000	180.0
15:34:50.008	170.8
15:34:50.021	166.8
15:34:50.033	159.3
15:34:50.041	148.2
15:34:50.053	137.4
15:34:50.066	129.2
15:34:50.074	121.2
15:34:50.086	115.9
15:34:50.098	107.2
15:34:50.107	100.2
15:34:50.119	99.0
15:34:50.131	94.7
15:34:50.139	90.7
15:34:50.152	87.8
15:34:50.164	86.8
15:34:50.172	82.1
15:34:50.184	76.2
15:34:50.197	67.4
15:34:50.209	61.8
15:34:50.217	57.4
15:34:50.229	51.8
15:34:50.242	46.1
15:34:50.250	40.0
15:34:50.262	36.2
15:34:50.275	27.7
15:34:50.283	25.1
15:34:50.295	21.9
15:34:50.307	21.4
15:34:50.316	18.6
15:34:50.328	14.8
15:34:50.340	13.0
15:34:50.348	11.7
15:34:50.361	10.6
15:34:50.373	8.1
15:34:50.385	12.6
15:34:50.394	10.8
15:34:50.406	6.6
15:34:50.418	0.1
