DateTime	RespValue
11:24:08.885	6.5
11:24:08.897	17.2
11:24:08.909	27.0
11:24:08.917	35.3
11:24:08.930	46.6
11:24:08.942	58.5
11:24:08.950	68.9
11:24:08.962	71.2
11:24:08.975	71.7
11:24:08.987	74.3
11:24:08.995	77.9
11:24:09.007	80.5
11:24:09.020	84.9
11:24:09.028	88.1
11:24:09.040	89.5
11:24:09.052	92.1
11:24:09.061	95.1
11:24:09.073	95.3
11:24:09.085	96.6
11:24:09.093	97.2
11:24:09.106	96.5
11:24:09.118	96.0
11:24:09.126	95.1
11:24:09.139	108.2
11:24:09.151	119.0
11:24:09.163	128.2
11:24:09.171	134.2
11:24:09.183	144.3
11:24:09.196	151.8
11:24:09.204	156.6
11:24:09.216	163.9
11:24:09.228	170.7
11:24:09.241	177.3
11:24:09.249	170.7
11:24:09.261	165.3
11:24:09.274	160.8
11:24:09.282	159.9
11:24:09.294	154.7
11:24:09.306	151.5
11:24:09.314	151.2
11:24:09.327	148.3
11:24:09.339	146.5
11:24:09.347	143.5
11:24:09.359	141.0
11:24:09.372	137.7
11:24:09.380	136.9
11:24:09.392	133.4
11:24:09.405	131.9
11:24:09.418	129.8
11:24:09.425	127.8
11:24:09.438	123.9
11:24:09.450	120.5
11:24:09.458	120.1
11:24:09.470	118.6
11:24:09.482	118.5
11:24:09.491	116.0
11:24:09.503	112.5
11:24:09.515	110.8
11:24:09.528	108.1
11:24:09.536	105.1
11:24:09.548	104.4
11:24:09.560	103.2
11:24:09.568	100.9
11:24:09.581	99.7
11:24:09.593	98.3
11:24:09.601	96.0
11:24:09.613	97.0
11:24:09.626	96.5
11:24:09.634	96.4
11:24:09.646	95.7
11:24:09.659	97.0
11:24:09.671	97.3
11:24:09.679	97.9
11:24:09.691	96.9
11:24:09.704	95.1
11:24:09.712	95.6
11:24:09.724	95.5
11:24:09.736	93.6
11:24:09.745	93.9
11:24:09.757	95.9
11:24:09.769	94.2
11:24:09.777	94.8
11:24:09.790	92.4
11:24:09.802	93.6
11:24:09.810	94.0
11:24:09.822	93.9
11:24:09.835	92.7
11:24:09.847	92.4
11:24:09.855	92.1
11:24:09.867	90.2
11:24:09.880	89.1
11:24:09.888	85.7
11:24:09.900	84.6
11:24:09.913	81.4
11:24:09.925	79.9
11:24:09.933	78.6
11:24:09.945	77.2
11:24:09.958	77.3
11:24:09.966	75.7
11:24:09.978	74.2
11:24:09.990	73.7
11:24:09.999	74.0
11:24:10.011	72.9
11:24:10.023	71.8
11:24:10.031	70.3
11:24:10.044	68.9
11:24:10.056	67.5
11:24:10.064	63.4
11:24:10.076	61.1
11:24:10.089	58.5
11:24:10.101	54.9
11:24:10.109	48.3
11:24:10.121	44.0
11:24:10.134	38.9
11:24:10.142	35.5
11:24:10.154	29.8
11:24:10.167	22.8
11:24:10.179	18.3
11:24:10.187	12.0
11:24:10.199	7.0
11:24:10.211	1.4
11:24:10.220	-0.2
11:24:10.232	-4.0
11:24:10.244	-6.2
11:24:10.252	-9.1
11:24:10.265	-12.6
11:24:10.277	-14.0
11:24:10.285	-19.3
11:24:10.297	-22.6
11:24:10.310	-34.2
11:24:10.318	-44.2
11:24:10.330	-55.1
11:24:10.343	-64.6
11:24:10.355	-75.0
11:24:10.363	-86.3
11:24:10.375	-95.9
11:24:10.388	-105.8
11:24:10.396	-113.4
11:24:10.408	-123.3
11:24:10.420	-127.9
11:24:10.429	-132.4
11:24:10.441	-138.8
11:24:10.453	-145.1
11:24:10.461	-151.5
11:24:10.474	-157.7
11:24:10.486	-167.7
11:24:10.498	-175.0
11:24:10.506	-181.1
11:24:10.519	-186.1
11:24:10.531	-188.8
11:24:10.539	-193.7
11:24:10.552	-196.1
11:24:10.564	-199.9
11:24:10.572	-203.2
11:24:10.585	-205.8
11:24:10.597	-204.9
11:24:10.609	-205.8
11:24:10.617	-207.4
11:24:10.630	-209.4
11:24:10.642	-210.2
11:24:10.650	-209.9
11:24:10.662	-210.6
11:24:10.675	-210.6
11:24:10.683	-209.5
11:24:10.695	-209.6
11:24:10.707	-210.2
11:24:10.716	-210.7
11:24:10.728	-210.8
11:24:10.740	-210.9
11:24:10.748	-212.2
11:24:10.761	-211.8
11:24:10.773	-212.1
11:24:10.785	-212.1
11:24:10.793	-213.1
11:24:10.806	-211.6
11:24:10.818	-210.7
11:24:10.826	-209.6
11:24:10.838	-208.3
11:24:10.851	-206.8
11:24:10.863	-204.8
11:24:10.871	-203.3
11:24:10.883	-201.3
11:24:10.896	-200.5
11:24:10.904	-198.7
11:24:10.916	-198.0
11:24:10.929	-195.9
11:24:10.937	-193.9
11:24:10.949	-191.4
11:24:10.961	-188.7
11:24:10.970	-186.1
11:24:10.982	-182.8
11:24:10.994	-180.6
11:24:11.002	-175.1
11:24:11.015	-172.2
11:24:11.027	-167.8
11:24:11.039	-165.4
11:24:11.048	-162.9
11:24:11.060	-160.1
11:24:11.068	-157.0
11:24:11.080	-154.3
11:24:11.093	-151.6
11:24:11.101	-147.9
11:24:11.113	-145.5
11:24:11.125	-143.1
11:24:11.138	-142.1
11:24:11.146	-138.2
11:24:11.158	-135.0
11:24:11.170	-132.6
11:24:11.179	-129.3
11:24:11.191	-127.5
11:24:11.203	-124.6
11:24:11.211	-122.0
11:24:11.224	-119.7
11:24:11.236	-116.5
11:24:11.248	-114.0
11:24:11.256	-112.7
11:24:11.269	-112.2
11:24:11.281	-111.7
11:24:11.289	-111.9
11:24:11.301	-110.3
11:24:11.314	-111.6
11:24:11.322	-111.5
11:24:11.334	-112.6
11:24:11.347	-112.2
11:24:11.355	-112.0
11:24:11.367	-112.8
11:24:11.379	-111.2
11:24:11.388	-112.4
11:24:11.400	-111.0
11:24:11.412	-111.0
11:24:11.425	-109.3
11:24:11.433	-109.4
11:24:11.445	-106.8
11:24:11.457	-105.4
11:24:11.465	-104.7
11:24:11.478	-101.5
11:24:11.490	-98.9
11:24:11.502	-93.2
11:24:11.511	-89.5
11:24:11.523	-85.2
11:24:11.535	-81.8
11:24:11.543	-76.7
11:24:11.556	-74.7
11:24:11.568	-71.4
11:24:11.576	-65.8
11:24:11.588	-62.7
11:24:11.601	-60.4
11:24:11.609	-58.0
11:24:11.621	-54.8
11:24:11.633	-52.8
11:24:11.642	-49.6
11:24:11.654	-47.9
11:24:11.666	-44.4
11:24:11.678	-40.3
11:24:11.687	-38.7
11:24:11.699	-35.6
11:24:11.711	-32.9
11:24:11.719	-30.1
11:24:11.732	-28.9
11:24:11.744	-24.0
11:24:11.752	-20.3
11:24:11.764	-15.9
11:24:11.777	-11.5
11:24:11.789	-9.2
11:24:11.797	-5.4
11:24:11.809	-3.2
11:24:11.822	0.0
11:24:11.830	4.1
11:24:11.842	9.3
11:24:11.854	11.2
11:24:11.863	13.9
11:24:11.875	14.2
11:24:11.887	13.3
11:24:11.895	13.7
11:24:11.908	14.6
11:24:11.920	17.9
11:24:11.932	19.9
11:24:11.940	30.7
11:24:11.953	37.8
11:24:11.965	48.6
11:24:11.973	56.7
11:24:11.985	66.6
11:24:11.998	77.2
11:24:12.006	85.2
11:24:12.018	92.2
11:24:12.030	98.9
11:24:12.039	106.3
11:24:12.051	103.9
11:24:12.063	103.0
11:24:12.076	98.1
11:24:12.084	95.6
11:24:12.096	93.5
11:24:12.108	91.8
11:24:12.117	91.8
11:24:12.129	91.0
11:24:12.141	90.6
11:24:12.149	88.3
11:24:12.162	87.7
11:24:12.174	85.4
11:24:12.186	84.8
11:24:12.194	84.5
11:24:12.207	84.8
11:24:12.219	83.3
11:24:12.227	81.0
11:24:12.239	79.7
11:24:12.252	78.2
11:24:12.260	79.0
11:24:12.272	77.6
11:24:12.284	80.1
11:24:12.293	79.7
11:24:12.305	80.4
11:24:12.317	79.2
11:24:12.325	79.8
11:24:12.338	80.6
11:24:12.350	81.0
11:24:12.362	82.8
11:24:12.370	82.4
11:24:12.383	83.0
11:24:12.395	80.5
11:24:12.403	82.3
11:24:12.415	82.3
11:24:12.428	83.4
11:24:12.440	82.6
11:24:12.448	82.6
11:24:12.460	84.2
11:24:12.473	82.1
11:24:12.481	83.3
11:24:12.493	83.2
11:24:12.505	84.1
11:24:12.514	83.8
11:24:12.526	83.3
11:24:12.538	83.0
11:24:12.546	84.2
11:24:12.559	85.9
11:24:12.571	86.4
11:24:12.579	87.9
11:24:12.592	85.4
11:24:12.604	84.0
11:24:12.616	84.2
11:24:12.624	85.3
11:24:12.637	84.3
11:24:12.649	85.0
11:24:12.657	85.6
11:24:12.669	84.2
11:24:12.682	83.2
11:24:12.690	82.3
11:24:12.702	83.7
11:24:12.715	83.8
11:24:12.727	82.9
11:24:12.735	80.8
11:24:12.747	80.5
11:24:12.760	78.7
11:24:12.768	76.9
11:24:12.780	75.1
11:24:12.792	73.6
11:24:12.801	74.4
11:24:12.813	72.7
11:24:12.825	72.6
11:24:12.834	72.0
11:24:12.846	70.7
11:24:12.858	70.9
