DateTime	RespValue
10:43:18.368	-5.5
10:43:18.375	-5.1
10:43:18.387	-4.7
10:43:18.400	-4.5
10:43:18.412	-4.5
10:43:18.420	-3.7
10:43:18.433	-5.1
10:43:18.445	-2.9
10:43:18.454	-3.0
10:43:18.466	-1.8
10:43:18.478	-0.6
10:43:18.486	-0.9
10:43:18.499	-0.6
10:43:18.511	-0.2
10:43:18.519	1.0
10:43:18.531	0.8
10:43:18.544	2.4
10:43:18.556	1.4
10:43:18.564	2.0
10:43:18.576	1.6
10:43:18.589	0.1
10:43:18.597	1.7
10:43:18.609	1.6
10:43:18.621	1.8
10:43:18.630	2.6
10:43:18.642	2.8
10:43:18.654	2.6
10:43:18.666	3.0
10:43:18.675	3.3
10:43:18.687	3.0
10:43:18.699	3.7
10:43:18.707	3.8
10:43:18.720	4.2
10:43:18.732	3.9
10:43:18.740	4.9
10:43:18.752	6.2
10:43:18.765	7.4
10:43:18.773	8.9
10:43:18.785	8.6
10:43:18.797	9.7
10:43:18.806	10.1
10:43:18.818	10.0
10:43:18.830	10.2
10:43:18.843	12.0
10:43:18.851	9.0
10:43:18.863	9.6
10:43:18.875	10.3
10:43:18.884	9.3
10:43:18.896	9.4
10:43:18.908	8.5
10:43:18.920	10.0
10:43:18.929	9.6
10:43:18.941	8.9
10:43:18.953	8.0
10:43:18.961	9.1
10:43:18.974	8.0
10:43:18.986	7.5
10:43:18.994	8.2
10:43:19.006	9.8
10:43:19.019	11.2
10:43:19.027	9.8
10:43:19.039	9.8
10:43:19.051	10.8
10:43:19.060	9.6
10:43:19.072	12.1
10:43:19.084	12.7
10:43:19.096	13.1
10:43:19.105	13.3
10:43:19.117	11.1
10:43:19.129	10.0
10:43:19.137	11.6
10:43:19.150	12.4
10:43:19.162	13.2
10:43:19.170	14.3
10:43:19.183	15.0
10:43:19.195	14.8
10:43:19.207	15.4
10:43:19.215	16.1
10:43:19.227	18.5
10:43:19.240	19.6
10:43:19.248	20.3
10:43:19.260	20.4
10:43:19.272	21.0
10:43:19.281	21.8
10:43:19.293	19.5
10:43:19.305	21.1
10:43:19.313	20.5
10:43:19.326	20.6
10:43:19.338	20.8
10:43:19.351	22.4
10:43:19.359	20.7
10:43:19.371	20.4
10:43:19.383	20.3
10:43:19.392	21.1
10:43:19.403	23.5
10:43:19.416	23.2
10:43:19.424	23.2
10:43:19.436	23.6
10:43:19.444	23.4
10:43:19.457	22.4
10:43:19.469	24.1
10:43:19.481	25.7
10:43:19.489	26.7
10:43:19.502	25.2
10:43:19.514	23.6
10:43:19.522	25.2
10:43:19.534	25.5
10:43:19.547	25.9
10:43:19.560	26.8
