DateTime	RespValue
2022-10-21 11:24:08.713	2.4
2022-10-21 11:24:08.725	4.5
2022-10-21 11:24:08.738	4.9
2022-10-21 11:24:08.746	4.3
2022-10-21 11:24:08.759	3.8
2022-10-21 11:24:08.771	4.4
2022-10-21 11:24:08.779	4.7
2022-10-21 11:24:08.792	3.7
2022-10-21 11:24:08.804	8.4
2022-10-21 11:24:08.816	0.3
2022-10-21 11:24:08.824	0.5
2022-10-21 11:24:08.837	1.4
2022-10-21 11:24:08.849	3.1
2022-10-21 11:24:08.857	3.9
2022-10-21 11:24:08.869	4.9
2022-10-21 11:24:08.882	5.3
2022-10-21 11:24:08.890	7
2022-10-21 11:24:08.902	5.3
2022-10-21 11:24:08.914	2
2022-10-21 11:24:08.927	2.4
2022-10-21 11:24:08.935	0.1
2022-10-21 11:24:08.947	1.8
2022-10-21 11:24:08.959	1
2022-10-21 11:24:08.968	2.8
2022-10-21 11:24:08.980	2.2
2022-10-21 11:24:08.992	2.1
2022-10-21 11:24:09.000	2.5
2022-10-21 11:24:09.013	2.9
2022-10-21 11:24:09.025	3.1
2022-10-21 11:24:09.033	3.5
2022-10-21 11:24:09.045	7.3
2022-10-21 11:24:09.058	4.3
2022-10-21 11:24:09.066	3.7
2022-10-21 11:24:09.078	0.1
2022-10-21 11:24:09.090	1.3
2022-10-21 11:24:09.103	0.6
2022-10-21 11:24:09.111	-1.2
2022-10-21 11:24:09.123	-2.4
2022-10-21 11:24:09.136	-1.7
2022-10-21 11:24:09.144	-2
2022-10-21 11:24:09.156	-4.6
2022-10-21 11:24:09.168	-3.2
2022-10-21 11:24:09.181	-3.5
2022-10-21 11:24:09.189	-1.3
2022-10-21 11:24:09.201	-3
2022-10-21 11:24:09.213	-1
2022-10-21 11:24:09.221	4.1
2022-10-21 11:24:09.234	5.7
2022-10-21 11:24:09.246	4.7
2022-10-21 11:24:09.254	6.9
2022-10-21 11:24:09.267	9.3
2022-10-21 11:24:09.279	8.1
2022-10-21 11:24:09.287	9.4
2022-10-21 11:24:09.299	7.3
2022-10-21 11:24:09.312	9.7
2022-10-21 11:24:09.320	8.7
2022-10-21 11:24:09.332	4.8
2022-10-21 11:24:09.344	7.2
2022-10-21 11:24:09.357	11.8
2022-10-21 11:24:09.365	11.7
2022-10-21 11:24:09.377	9.6
2022-10-21 11:24:09.389	9.5
2022-10-21 11:24:09.398	10.2
2022-10-21 11:24:09.410	13.3
2022-10-21 11:24:09.422	14.4
2022-10-21 11:24:09.430	11.8
2022-10-21 11:24:09.443	10
2022-10-21 11:24:09.455	7.5
