DateTime	RespValue
11:24:08.711	-155.7
11:24:08.724	-153.4
11:24:08.731	-151.4
11:24:08.743	-147.7
11:24:08.756	-147.7
11:24:08.769	-145.0
11:24:08.777	-140.8
11:24:08.789	-137.9
11:24:08.801	-133.1
11:24:08.809	-127.6
11:24:08.822	-121.8
11:24:08.834	-118.5
11:24:08.842	-118.1
11:24:08.855	-117.2
11:24:08.867	-112.2
11:24:08.879	-111.1
11:24:08.887	-109.9
11:24:08.900	-108.9
11:24:08.912	-110.5
11:24:08.920	-109.7
11:24:08.932	-110.5
11:24:08.945	-108.8
11:24:08.953	-105.4
11:24:08.965	-105.0
11:24:08.977	-104.2
11:24:08.986	-100.8
11:24:08.998	-99.5
11:24:09.010	-96.5
11:24:09.018	-91.7
11:24:09.031	-92.5
11:24:09.043	-90.3
11:24:09.055	-91.7
11:24:09.063	-91.1
11:24:09.076	-87.6
11:24:09.088	-86.6
11:24:09.096	-86.7
11:24:09.108	-85.2
11:24:09.121	-85.3
11:24:09.133	-84.3
11:24:09.141	-79.4
11:24:09.153	-79.8
11:24:09.166	-73.8
11:24:09.174	-73.4
11:24:09.186	-70.2
11:24:09.198	-67.7
11:24:09.207	-67.6
11:24:09.219	-64.6
11:24:09.231	-63.6
11:24:09.239	-63.3
11:24:09.252	-63.7
11:24:09.264	-59.8
11:24:09.272	-59.4
11:24:09.285	-58.0
11:24:09.297	-59.5
11:24:09.309	-58.1
11:24:09.317	-56.0
11:24:09.330	-55.4
11:24:09.342	-52.0
11:24:09.350	-49.5
11:24:09.362	-46.0
11:24:09.375	-43.7
11:24:09.383	-44.8
11:24:09.395	-40.8
11:24:09.407	-37.5
11:24:09.420	-32.9
11:24:09.428	-28.9
11:24:09.440	-24.2
11:24:09.452	-21.7
11:24:09.461	-16.8
11:24:09.473	-15.3
11:24:09.485	-14.7
11:24:09.493	-9.1
11:24:09.506	-4.5
11:24:09.518	-2.1
11:24:09.526	-3.4
11:24:09.538	-1.2
11:24:09.551	-0.2
11:24:09.563	3.3
11:24:09.571	4.8
11:24:09.583	5.7
11:24:09.596	8.2
11:24:09.605	7.7
11:24:09.616	7.9
11:24:09.628	10.2
11:24:09.637	14.8
11:24:09.649	18.0
11:24:09.661	19.8
11:24:09.669	19.7
11:24:09.682	19.5
11:24:09.694	20.8
11:24:09.702	23.4
11:24:09.714	26.5
11:24:09.727	27.8
11:24:09.739	27.6
11:24:09.747	26.3
11:24:09.760	27.1
11:24:09.772	26.2
11:24:09.780	28.3
11:24:09.792	30.1
11:24:09.805	32.6
11:24:09.817	33.3
11:24:09.825	36.1
11:24:09.837	37.0
11:24:09.850	40.1
11:24:09.858	42.5
11:24:09.870	41.8
11:24:09.882	44.8
11:24:09.891	45.7
11:24:09.903	47.6
11:24:09.915	46.1
11:24:09.923	48.7
11:24:09.936	47.6
11:24:09.948	48.5
11:24:09.956	49.2
11:24:09.968	49.6
11:24:09.981	50.4
11:24:09.993	50.8
11:24:10.001	48.8
11:24:10.013	48.4
11:24:10.026	52.0
11:24:10.034	51.1
11:24:10.046	50.4
11:24:10.059	51.7
11:24:10.071	48.2
11:24:10.079	50.1
11:24:10.091	50.0
11:24:10.103	49.7
11:24:10.112	50.9
11:24:10.124	53.0
11:24:10.136	53.1
11:24:10.144	54.7
11:24:10.157	57.7
11:24:10.169	59.8
11:24:10.177	64.0
11:24:10.189	62.0
11:24:10.202	65.2
11:24:10.210	66.6
11:24:10.222	69.5
11:24:10.234	66.9
11:24:10.247	67.0
11:24:10.255	66.9
11:24:10.267	65.4
11:24:10.279	63.9
11:24:10.288	60.0
11:24:10.300	62.4
11:24:10.312	60.4
11:24:10.320	59.4
11:24:10.333	58.5
11:24:10.341	57.6
11:24:10.353	57.0
11:24:10.365	56.4
11:24:10.378	57.3
11:24:10.386	54.9
11:24:10.398	58.3
11:24:10.411	56.3
11:24:10.419	57.8
11:24:10.431	57.8
11:24:10.443	56.6
11:24:10.456	57.2
11:24:10.464	57.5
11:24:10.476	54.9
11:24:10.488	54.1
11:24:10.497	56.5
11:24:10.509	55.8
11:24:10.521	55.8
11:24:10.529	53.5
11:24:10.542	52.7
11:24:10.554	54.8
11:24:10.562	56.6
11:24:10.574	54.5
11:24:10.587	55.1
11:24:10.595	55.1
11:24:10.607	51.8
11:24:10.619	52.0
11:24:10.632	51.0
11:24:10.640	52.6
11:24:10.652	52.6
11:24:10.664	50.0
11:24:10.673	50.4
11:24:10.685	49.5
11:24:10.697	50.9
11:24:10.709	48.7
11:24:10.718	50.7
11:24:10.730	49.6
11:24:10.742	50.1
11:24:10.750	49.8
11:24:10.763	48.0
11:24:10.775	46.7
11:24:10.783	45.2
11:24:10.795	47.1
11:24:10.808	46.1
11:24:10.816	46.5
11:24:10.828	46.3
11:24:10.841	47.3
11:24:10.849	47.2
11:24:10.861	45.4
11:24:10.873	48.3
11:24:10.886	51.0
11:24:10.894	50.7
11:24:10.906	50.3
11:24:10.918	51.0
11:24:10.927	51.1
11:24:10.939	54.0
11:24:10.951	55.1
11:24:10.959	57.3
11:24:10.972	57.2
11:24:10.984	59.3
11:24:10.992	57.9
11:24:11.004	56.3
11:24:11.017	56.9
11:24:11.029	55.6
11:24:11.037	54.6
11:24:11.049	49.4
11:24:11.062	47.8
11:24:11.070	43.0
11:24:11.082	41.3
11:24:11.094	34.9
11:24:11.103	31.0
11:24:11.115	30.0
11:24:11.127	25.4
11:24:11.139	20.2
11:24:11.148	17.5
11:24:11.160	16.5
11:24:11.172	9.2
11:24:11.180	8.6
11:24:11.193	7.4
11:24:11.205	4.1
11:24:11.213	3.1
11:24:11.225	2.0
11:24:11.238	1.9
11:24:11.246	1.5
11:24:11.258	0.4
11:24:11.270	-1.8
11:24:11.279	0.4
11:24:11.291	-2.9
11:24:11.304	-6.6
11:24:11.316	-5.5
11:24:11.324	-10.0
11:24:11.336	-13.0
11:24:11.349	-18.0
11:24:11.357	-18.8
11:24:11.369	-21.5
11:24:11.381	-24.4
11:24:11.394	-29.3
11:24:11.402	-29.8
11:24:11.414	-30.4
11:24:11.426	-32.0
11:24:11.435	-31.9
11:24:11.447	-35.9
11:24:11.459	-37.2
11:24:11.467	-38.6
11:24:11.479	-40.7
11:24:11.492	-41.8
11:24:11.500	-41.8
11:24:11.512	-45.2
11:24:11.524	-48.7
11:24:11.533	-52.4
11:24:11.546	-53.2
11:24:11.558	-53.0
11:24:11.570	-54.9
11:24:11.578	-60.4
11:24:11.591	-61.5
11:24:11.603	-64.7
11:24:11.611	-67.9
11:24:11.623	-67.9
11:24:11.635	-71.2
11:24:11.643	-74.3
11:24:11.656	-79.9
11:24:11.668	-81.2
11:24:11.680	-83.2
11:24:11.688	-84.4
11:24:11.701	-86.4
11:24:11.713	-89.1
11:24:11.721	-90.4
11:24:11.733	-95.6
11:24:11.746	-96.7
11:24:11.754	-97.2
11:24:11.766	-97.2
11:24:11.778	-101.8
11:24:11.787	-104.7
11:24:11.799	-106.6
11:24:11.811	-109.1
11:24:11.823	-109.1
11:24:11.832	-112.6
11:24:11.844	-113.8
11:24:11.856	-114.9
11:24:11.864	-118.4
11:24:11.877	-117.8
11:24:11.889	-117.7
11:24:11.897	-117.0
11:24:11.909	-115.7
11:24:11.922	-116.7
11:24:11.930	-118.0
11:24:11.942	-115.8
11:24:11.954	-115.6
11:24:11.967	-114.0
11:24:11.975	-112.7
11:24:11.987	-114.5
11:24:11.999	-115.3
11:24:12.008	-114.8
11:24:12.020	-113.0
11:24:12.032	-112.4
11:24:12.040	-111.6
11:24:12.053	-111.7
11:24:12.065	-110.8
11:24:12.077	-112.3
11:24:12.086	-114.1
11:24:12.098	-112.6
11:24:12.110	-110.8
11:24:12.118	-109.4
11:24:12.131	-112.0
11:24:12.143	-109.5
11:24:12.151	-109.3
11:24:12.163	-109.5
11:24:12.176	-109.9
11:24:12.184	-106.1
11:24:12.196	-103.1
11:24:12.208	-101.6
11:24:12.217	-100.8
11:24:12.229	-100.1
11:24:12.241	-98.3
11:24:12.253	-98.4
11:24:12.262	-96.4
11:24:12.274	-94.9
11:24:12.286	-90.0
11:24:12.294	-90.1
11:24:12.307	-88.0
11:24:12.319	-87.4
11:24:12.331	-85.9
11:24:12.339	-82.4
11:24:12.352	-80.6
11:24:12.360	-78.6
11:24:12.372	-77.0
11:24:12.384	-73.6
11:24:12.393	-74.8
11:24:12.405	-72.2
11:24:12.417	-70.3
11:24:12.425	-69.2
11:24:12.438	-67.1
11:24:12.450	-67.5
11:24:12.462	-65.8
11:24:12.470	-65.1
