DateTime	RespValue
11:08:36.867	96.5
11:08:36.879	99.0
11:08:36.891	100.9
11:08:36.899	98.5
11:08:36.911	91.5
11:08:36.923	82.6
11:08:36.932	70.6
11:08:36.944	57.5
11:08:36.956	41.3
11:08:36.964	28.4
11:08:36.977	17.9
11:08:36.989	12.2
11:08:36.997	6.7
11:08:37.009	2.5
11:08:37.022	-0.8
11:08:37.030	-4.6
11:08:37.042	-8.0
11:08:37.055	-12.8
11:08:37.067	-18.6
11:08:37.075	-26.1
11:08:37.087	-31.9
11:08:37.100	-39.3
11:08:37.108	-46.1
11:08:37.120	-52.0
11:08:37.132	-57.7
11:08:37.140	-63.1
11:08:37.153	-67.8
11:08:37.165	-70.7
11:08:37.177	-74.0
11:08:37.186	-74.4
11:08:37.198	-77.6
11:08:37.210	-79.9
11:08:37.218	-82.4
11:08:37.231	-84.4
11:08:37.243	-85.7
11:08:37.251	-88.1
11:08:37.263	-90.6
11:08:37.276	-93.5
11:08:37.284	-94.1
11:08:37.296	-96.5
11:08:37.308	-97.2
11:08:37.321	-97.1
11:08:37.329	-97.7
11:08:37.341	-98.5
11:08:37.353	-98.5
11:08:37.362	-97.9
11:08:37.374	-100.7
11:08:37.386	-102.8
11:08:37.394	-104.6
11:08:37.407	-106.0
11:08:37.419	-108.3
11:08:37.427	-112.1
11:08:37.439	-114.7
11:08:37.452	-117.4
11:08:37.464	-122.0
11:08:37.472	-127.5
11:08:37.484	-129.4
11:08:37.497	-132.8
11:08:37.506	-140.0
11:08:37.518	-145.9
11:08:37.530	-150.2
11:08:37.539	-155.5
11:08:37.551	-160.9
11:08:37.563	-166.5
11:08:37.576	-170.7
11:08:37.584	-174.9
11:08:37.596	-179.2
11:08:37.608	-183.6
11:08:37.617	-184.9
11:08:37.629	-186.5
11:08:37.641	-189.8
11:08:37.649	-192.1
11:08:37.662	-193.1
11:08:37.674	-193.9
11:08:37.682	-194.5
11:08:37.694	-193.7
11:08:37.707	-195.5
11:08:37.715	-196.3
11:08:37.727	-196.9
11:08:37.739	-198.1
11:08:37.752	-197.5
11:08:37.760	-196.0
11:08:37.772	-195.0
11:08:37.784	-194.1
11:08:37.793	-192.9
11:08:37.805	-191.9
11:08:37.816	-190.3
11:08:37.829	-187.8
11:08:37.837	-185.1
11:08:37.849	-181.9
11:08:37.861	-178.5
11:08:37.870	-177.5
11:08:37.882	-176.0
11:08:37.894	-173.9
11:08:37.902	-171.0
11:08:37.915	-168.8
11:08:37.927	-165.8
11:08:37.935	-163.2
11:08:37.947	-160.2
