DateTime	RespValue
2022-10-31 11:10:55.594	-32.5
2022-10-31 11:10:55.606	-31.5
2022-10-31 11:10:55.619	-32.6
2022-10-31 11:10:55.627	-34.1
2022-10-31 11:10:55.639	-33.1
2022-10-31 11:10:55.651	-31.1
2022-10-31 11:10:55.663	-29.5
2022-10-31 11:10:55.672	-30.1
2022-10-31 11:10:55.684	-29.7
2022-10-31 11:10:55.696	-28.8
2022-10-31 11:10:55.704	-27.7
2022-10-31 11:10:55.717	-26
2022-10-31 11:10:55.729	-25.6
2022-10-31 11:10:55.737	-24.6
2022-10-31 11:10:55.749	-22.3
2022-10-31 11:10:55.762	-25.2
2022-10-31 11:10:55.770	-26.3
2022-10-31 11:10:55.782	-26
2022-10-31 11:10:55.794	-26.8
2022-10-31 11:10:55.803	-26
2022-10-31 11:10:55.815	-24.9
2022-10-31 11:10:55.827	-25.9
2022-10-31 11:10:55.839	-24
2022-10-31 11:10:55.848	-22.1
2022-10-31 11:10:55.860	-23.9
2022-10-31 11:10:55.872	-20.3
2022-10-31 11:10:55.880	-16.8
2022-10-31 11:10:55.893	-13
2022-10-31 11:10:55.905	-7.1
2022-10-31 11:10:55.913	-1.5
2022-10-31 11:10:55.925	3.3
2022-10-31 11:10:55.938	10
2022-10-31 11:10:55.950	18
2022-10-31 11:10:55.958	25.4
2022-10-31 11:10:55.970	35.4
2022-10-31 11:10:55.983	43.6
2022-10-31 11:10:55.991	52.5
2022-10-31 11:10:56.003	60.9
2022-10-31 11:10:56.016	69.5
2022-10-31 11:10:56.024	77.5
2022-10-31 11:10:56.036	85.5
2022-10-31 11:10:56.049	91.4
2022-10-31 11:10:56.057	94.7
2022-10-31 11:10:56.070	99.5
2022-10-31 11:10:56.082	101.8
2022-10-31 11:10:56.094	102.5
2022-10-31 11:10:56.103	103.2
2022-10-31 11:10:56.115	101.6
2022-10-31 11:10:56.127	97.9
2022-10-31 11:10:56.135	94
2022-10-31 11:10:56.148	91.9
2022-10-31 11:10:56.160	86.7
2022-10-31 11:10:56.168	82.8
2022-10-31 11:10:56.180	76.8
2022-10-31 11:10:56.189	71.6
2022-10-31 11:10:56.201	67.7
2022-10-31 11:10:56.213	59.4
2022-10-31 11:10:56.225	54.3
2022-10-31 11:10:56.234	49.1
2022-10-31 11:10:56.246	42.1
2022-10-31 11:10:56.258	31.4
2022-10-31 11:10:56.266	25.6
2022-10-31 11:10:56.279	17.5
2022-10-31 11:10:56.291	9.5
2022-10-31 11:10:56.303	1.7
2022-10-31 11:10:56.311	-8.4
2022-10-31 11:10:56.324	-16
2022-10-31 11:10:56.336	-26.8
2022-10-31 11:10:56.344	-37.8
2022-10-31 11:10:56.356	-47.3
2022-10-31 11:10:56.369	-54.8
2022-10-31 11:10:56.377	-66.3
2022-10-31 11:10:56.389	-76.7
2022-10-31 11:10:56.401	-85.5
2022-10-31 11:10:56.410	-95.3
2022-10-31 11:10:56.422	-103.1
2022-10-31 11:10:56.434	-112.6
2022-10-31 11:10:56.442	-119.9
