DateTime	RespValue
15:02:41.259	2.4
15:02:41.271	0.9
15:02:41.284	1.7
15:02:41.295	3.6
15:02:41.304	6.0
15:02:41.316	5.2
15:02:41.328	3.6
15:02:41.337	5.8
15:02:41.349	6.0
15:02:41.361	9.4
15:02:41.369	6.5
15:02:41.381	4.9
15:02:41.394	8.1
15:02:41.406	7.1
15:02:41.414	9.0
15:02:41.427	9.6
15:02:41.439	11.0
15:02:41.447	9.8
15:02:41.459	11.2
15:02:41.472	10.1
15:02:41.480	15.3
15:02:41.492	17.9
15:02:41.504	16.3
15:02:41.513	19.7
15:02:41.525	17.8
15:02:41.537	18.7
15:02:41.545	16.5
15:02:41.558	21.0
15:02:41.570	20.0
15:02:41.582	18.9
15:02:41.590	16.3
15:02:41.603	17.4
15:02:41.615	18.4
15:02:41.623	15.3
15:02:41.635	15.0
15:02:41.648	16.7
15:02:41.660	19.6
15:02:41.668	17.4
15:02:41.680	21.8
15:02:41.693	22.1
15:02:41.701	22.1
15:02:41.713	21.7
15:02:41.725	22.3
15:02:41.734	21.4
15:02:41.746	22.5
15:02:41.758	24.2
15:02:41.766	22.9
15:02:41.779	21.2
15:02:41.791	17.1
15:02:41.799	20.6
15:02:41.811	18.3
15:02:41.824	17.0
15:02:41.836	18.2
15:02:41.844	17.9
15:02:41.857	22.5
15:02:41.869	18.6
15:02:41.877	19.1
15:02:41.889	19.2
15:02:41.902	22.5
15:02:41.910	18.3
15:02:41.922	19.3
15:02:41.934	20.6
15:02:41.947	18.7
15:02:41.955	18.3
15:02:41.967	13.9
15:02:41.979	18.0
15:02:41.988	18.1
15:02:42.000	23.1
15:02:42.012	19.5
15:02:42.020	19.9
15:02:42.033	21.3
15:02:42.045	19.8
15:02:42.053	24.0
15:02:42.065	24.4
15:02:42.078	22.3
15:02:42.090	18.3
15:02:42.098	18.0
15:02:42.110	13.1
15:02:42.123	11.8
15:02:42.131	8.2
15:02:42.143	4.1
15:02:42.155	6.0
15:02:42.164	0.1
15:02:42.176	-0.8
15:02:42.188	-0.8
15:02:42.196	-1.2
15:02:42.208	-2.8
15:02:42.221	-3.6
15:02:42.229	-4.2
15:02:42.241	-6.1
15:02:42.253	-7.5
15:02:42.267	-13.1
15:02:42.279	-14.8
15:02:42.287	-19.9
15:02:42.300	-26.6
15:02:42.312	-34.5
15:02:42.320	-40.9
15:02:42.332	-46.4
15:02:42.345	-53.2
15:02:42.353	-57.0
15:02:42.365	-62.2
15:02:42.377	-66.8
15:02:42.389	-73.2
15:02:42.398	-74.6
15:02:42.410	-77.6
15:02:42.422	-79.8
15:02:42.430	-81.4
15:02:42.442	-87.6
15:02:42.455	-86.9
15:02:42.463	-89.3
15:02:42.475	-88.6
15:02:42.487	-89.6
15:02:42.496	-91.2
15:02:42.508	-99.8
15:02:42.520	-103.9
15:02:42.528	-110.9
15:02:42.541	-117.5
15:02:42.553	-122.9
15:02:42.565	-131.2
15:02:42.574	-137.1
15:02:42.586	-151.4
15:02:42.598	-163.2
15:02:42.606	-173.6
15:02:42.619	-175.7
15:02:42.631	-182.4
15:02:42.643	-186.4
15:02:42.651	-191.8
15:02:42.664	-196.1
15:02:42.676	-199.1
15:02:42.684	-204.8
15:02:42.696	-207.2
15:02:42.709	-207.2
15:02:42.717	-207.2
15:02:42.729	-211.2
15:02:42.742	-213.3
15:02:42.750	-215.4
15:02:42.762	-214.8
15:02:42.774	-209.7
15:02:42.783	-212.1
15:02:42.795	-208.0
15:02:42.807	-206.7
15:02:42.819	-205.5
15:02:42.828	-207.7
15:02:42.840	-206.4
15:02:42.852	-205.3
15:02:42.860	-199.8
15:02:42.873	-200.3
15:02:42.885	-203.8
15:02:42.893	-200.4
15:02:42.905	-203.1
15:02:42.918	-201.9
15:02:42.930	-202.3
15:02:42.938	-200.4
15:02:42.950	-199.0
15:02:42.963	-194.2
15:02:42.971	-191.4
15:02:42.983	-187.9
15:02:42.995	-187.1
15:02:43.004	-186.5
15:02:43.016	-180.3
15:02:43.028	-177.0
15:02:43.036	-174.2
15:02:43.049	-169.9
15:02:43.061	-164.9
15:02:43.073	-161.8
15:02:43.081	-163.5
15:02:43.094	-157.9
15:02:43.106	-152.2
15:02:43.114	-149.6
15:02:43.126	-149.3
15:02:43.139	-144.8
15:02:43.147	-139.9
15:02:43.159	-133.6
15:02:43.171	-133.5
15:02:43.180	-129.3
15:02:43.192	-119.5
15:02:43.204	-119.2
15:02:43.216	-113.0
15:02:43.225	-108.9
15:02:43.237	-103.7
15:02:43.249	-100.0
15:02:43.258	-91.7
15:02:43.270	-89.2
15:02:43.282	-81.8
15:02:43.290	-81.4
15:02:43.303	-82.8
15:02:43.315	-79.1
15:02:43.327	-77.9
15:02:43.335	-74.6
15:02:43.348	-72.3
15:02:43.360	-67.5
15:02:43.368	-69.1
15:02:43.380	-67.6
15:02:43.393	-67.6
15:02:43.401	-60.7
15:02:43.413	-52.7
15:02:43.425	-49.9
15:02:43.434	-45.2
15:02:43.446	-44.9
15:02:43.458	-41.2
15:02:43.466	-41.5
15:02:43.479	-37.8
15:02:43.491	-36.7
15:02:43.503	-36.2
15:02:43.511	-37.5
15:02:43.523	-42.3
15:02:43.536	-38.9
15:02:43.544	-42.7
15:02:43.557	-38.3
15:02:43.569	-39.9
15:02:43.581	-40.1
15:02:43.589	-43.8
15:02:43.602	-42.4
15:02:43.614	-37.7
15:02:43.622	-36.1
15:02:43.635	-34.4
15:02:43.647	-36.3
15:02:43.655	-35.2
15:02:43.667	-33.9
15:02:43.680	-32.8
15:02:43.688	-30.7
15:02:43.700	-25.0
15:02:43.712	-22.9
15:02:43.721	-21.0
15:02:43.733	-18.7
15:02:43.745	-18.9
15:02:43.757	-13.2
15:02:43.766	-13.2
15:02:43.778	-15.0
15:02:43.790	-13.9
15:02:43.798	-12.6
15:02:43.810	-14.6
15:02:43.822	-14.5
15:02:43.830	-12.8
15:02:43.843	-14.3
15:02:43.855	-12.8
15:02:43.867	-16.6
15:02:43.875	-15.4
15:02:43.888	-14.3
15:02:43.900	-13.9
15:02:43.908	-15.2
15:02:43.920	-12.0
15:02:43.933	-10.7
15:02:43.941	-14.7
15:02:43.953	-13.5
15:02:43.965	-12.9
15:02:43.974	-5.7
15:02:43.986	-3.2
15:02:43.998	-2.8
15:02:44.011	-1.8
15:02:44.019	4.3
15:02:44.031	2.0
15:02:44.043	0.1
15:02:44.051	1.5
15:02:44.064	2.5
15:02:44.076	4.7
15:02:44.084	-1.3
15:02:44.096	0.8
15:02:44.109	3.9
15:02:44.117	10.4
15:02:44.129	7.9
15:02:44.142	8.1
15:02:44.150	13.8
15:02:44.162	16.1
15:02:44.174	18.3
15:02:44.187	18.1
15:02:44.199	18.1
15:02:44.207	17.6
15:02:44.220	20.0
15:02:44.232	16.0
15:02:44.240	18.7
15:02:44.252	23.4
15:02:44.265	20.6
15:02:44.273	23.0
15:02:44.285	22.4
15:02:44.297	24.7
15:02:44.310	28.5
15:02:44.318	28.2
15:02:44.330	24.7
15:02:44.343	24.5
15:02:44.351	23.3
15:02:44.363	18.4
15:02:44.375	24.7
15:02:44.383	20.4
15:02:44.396	20.4
15:02:44.408	18.1
15:02:44.416	16.9
15:02:44.428	15.5
15:02:44.441	15.0
15:02:44.449	14.6
15:02:44.461	16.6
15:02:44.474	20.4
15:02:44.486	15.1
15:02:44.494	18.2
15:02:44.506	15.6
15:02:44.519	16.1
15:02:44.527	14.2
15:02:44.539	16.1
15:02:44.551	16.5
