DateTime	RespValue
15:03:04.726	-248.5
15:03:04.738	-247.0
15:03:04.745	-243.2
15:03:04.758	-239.8
15:03:04.771	-238.6
15:03:04.779	-237.0
15:03:04.791	-232.1
15:03:04.803	-227.1
15:03:04.812	-225.6
15:03:04.824	-222.0
15:03:04.836	-218.7
15:03:04.844	-214.4
15:03:04.857	-212.2
15:03:04.869	-209.1
15:03:04.881	-203.7
15:03:04.889	-198.9
15:03:04.902	-198.2
15:03:04.910	-197.3
15:03:04.922	-192.8
15:03:04.934	-192.8
15:03:04.943	-190.3
15:03:04.955	-188.0
15:03:04.967	-185.8
15:03:04.975	-182.3
15:03:04.988	-179.1
15:03:05.000	-174.2
15:03:05.012	-167.9
15:03:05.021	-159.6
15:03:05.033	-152.9
15:03:05.045	-141.4
15:03:05.053	-130.8
15:03:05.065	-121.0
15:03:05.078	-110.2
15:03:05.090	-100.6
15:03:05.098	-91.2
15:03:05.110	-84.0
15:03:05.123	-77.5
15:03:05.131	-71.4
15:03:05.143	-65.3
15:03:05.155	-63.1
15:03:05.164	-59.3
15:03:05.176	-55.4
15:03:05.188	-52.2
15:03:05.197	-49.0
15:03:05.209	-46.1
15:03:05.221	-42.7
15:03:05.229	-37.7
15:03:05.242	-33.7
15:03:05.254	-30.1
15:03:05.266	-21.2
15:03:05.274	-13.4
15:03:05.287	-8.9
15:03:05.299	-2.4
15:03:05.307	4.0
15:03:05.319	10.8
15:03:05.332	17.0
15:03:05.340	21.5
15:03:05.352	27.9
15:03:05.364	32.5
15:03:05.377	31.9
15:03:05.385	31.2
15:03:05.397	32.8
15:03:05.409	34.5
15:03:05.418	35.3
15:03:05.430	36.1
15:03:05.442	39.5
15:03:05.450	43.4
15:03:05.463	43.5
15:03:05.475	45.3
15:03:05.483	49.6
15:03:05.495	53.3
15:03:05.508	57.9
15:03:05.516	59.9
15:03:05.528	64.1
15:03:05.540	67.9
15:03:05.549	69.7
15:03:05.561	73.8
15:03:05.573	76.6
15:03:05.581	78.6
15:03:05.594	80.6
15:03:05.606	80.3
15:03:05.614	80.1
15:03:05.626	82.6
15:03:05.639	82.2
15:03:05.651	81.3
15:03:05.659	81.1
15:03:05.671	77.8
15:03:05.684	77.1
15:03:05.692	74.8
15:03:05.704	73.6
15:03:05.716	76.1
15:03:05.729	77.2
15:03:05.737	74.9
15:03:05.749	75.3
15:03:05.762	76.2
15:03:05.770	74.8
15:03:05.782	74.0
15:03:05.794	73.3
15:03:05.803	73.3
15:03:05.815	74.0
15:03:05.827	72.8
15:03:05.835	71.6
15:03:05.848	74.5
15:03:05.860	75.5
15:03:05.868	75.9
15:03:05.880	80.5
15:03:05.893	85.6
15:03:05.905	90.1
15:03:05.913	97.2
15:03:05.925	101.8
15:03:05.938	108.1
15:03:05.946	111.5
15:03:05.958	114.5
15:03:05.970	117.4
15:03:05.979	119.3
15:03:05.991	118.4
15:03:06.003	118.0
15:03:06.015	118.3
15:03:06.024	116.0
15:03:06.036	115.5
15:03:06.048	110.7
15:03:06.056	110.1
15:03:06.069	109.0
15:03:06.081	106.9
15:03:06.089	107.3
15:03:06.101	107.9
15:03:06.114	106.3
15:03:06.122	105.2
15:03:06.134	103.0
15:03:06.146	102.3
15:03:06.159	100.9
15:03:06.167	100.7
15:03:06.179	97.8
15:03:06.187	97.5
15:03:06.200	95.2
15:03:06.212	92.7
15:03:06.220	91.9
15:03:06.233	89.1
15:03:06.245	89.0
15:03:06.253	85.7
15:03:06.265	87.6
15:03:06.278	84.9
15:03:06.290	83.0
15:03:06.298	81.4
15:03:06.311	81.0
15:03:06.323	79.1
15:03:06.331	77.1
15:03:06.343	76.2
15:03:06.356	76.3
15:03:06.368	73.8
15:03:06.376	71.0
15:03:06.388	70.6
15:03:06.401	69.5
15:03:06.409	67.9
15:03:06.421	66.7
15:03:06.433	65.5
15:03:06.442	64.9
15:03:06.454	64.6
15:03:06.466	63.5
15:03:06.474	62.3
15:03:06.487	59.4
15:03:06.499	58.5
15:03:06.507	59.2
15:03:06.519	58.1
15:03:06.532	58.0
15:03:06.544	56.8
15:03:06.552	55.1
15:03:06.564	52.3
15:03:06.577	49.2
15:03:06.585	50.2
15:03:06.597	49.8
15:03:06.610	48.2
15:03:06.618	47.2
15:03:06.630	45.0
15:03:06.642	42.6
15:03:06.655	42.1
15:03:06.663	41.4
15:03:06.675	39.7
15:03:06.687	41.4
15:03:06.696	40.9
15:03:06.708	41.9
15:03:06.720	41.4
15:03:06.728	41.4
15:03:06.741	45.3
15:03:06.753	45.6
15:03:06.761	48.2
15:03:06.773	49.3
15:03:06.786	51.6
15:03:06.794	51.5
15:03:06.806	51.4
15:03:06.819	50.8
15:03:06.827	51.8
15:03:06.839	51.2
15:03:06.851	47.6
15:03:06.859	46.8
15:03:06.872	43.4
15:03:06.884	40.1
15:03:06.892	35.5
15:03:06.905	32.6
15:03:06.917	26.4
15:03:06.929	22.3
15:03:06.937	17.3
15:03:06.950	10.8
15:03:06.962	4.8
15:03:06.970	0.2
15:03:06.982	-4.9
15:03:06.995	-8.9
15:03:07.007	-11.4
15:03:07.015	-18.8
15:03:07.027	-22.0
15:03:07.040	-26.6
15:03:07.048	-33.1
15:03:07.060	-40.4
15:03:07.072	-45.1
15:03:07.081	-53.3
15:03:07.093	-60.1
15:03:07.105	-67.9
15:03:07.113	-78.0
15:03:07.126	-87.2
15:03:07.138	-96.0
15:03:07.146	-107.5
15:03:07.158	-117.6
15:03:07.171	-125.6
15:03:07.183	-139.7
15:03:07.191	-152.1
15:03:07.203	-165.5
15:03:07.216	-177.3
15:03:07.224	-187.0
15:03:07.236	-196.3
15:03:07.248	-206.0
15:03:07.257	-211.9
15:03:07.269	-219.7
15:03:07.281	-228.0
15:03:07.293	-230.5
15:03:07.302	-235.6
15:03:07.314	-239.2
15:03:07.327	-243.1
